Tiempo desde erupcion (d);Magnitud;;;;;;;;;;;;
4194,6;7,3;;;;;;;;;;;;
4194,7;7,0;;;;;;;;;;;;
4196,6;6,3;;;;;;;;;;;;
4196,7;7,0;;;;;;;;;;;;
4197,6;6,3;;;;;;;;;;;;
4198,6;6,4;;;;;;;;;;;;
4199,3;6,9;;;;;;;;;;;;
4199,4;7,8;;;;;;;;;;;;
4199,4;6,9;;;;;;;;;;;;
4199,6;6,3;;;;;;;;;;;;
4199,6;7,1;;;;;;;;;;;;
4202,6;7,2;;;;;;;;;;;;
4202,6;7,0;;;;;;;;;;;;
4206,5;7,6;;;;;;;;;;;;
4206,5;7,5;;;;;;;;;;;;
4206,6;7,1;;;;;;;;;;;;
4207,7;7,0;;;;;;;;;;;;
4212,6;7,2;;;;;;;;;;;;
4213,6;7,4;;;;;;;;;;;;
4214,6;7,3;;;;;;;;;;;;
4215,5;7,3;;;;;;;;;;;;
4215,5;7,5;;;;;;;;;;;;
4216,6;7,2;;;;;;;;;;;;
4217,6;7,2;;;;;;;;;;;;
4218,7;7,5;;;;;;;;;;;;
4219,3;7,4;;;;;;;;;;;;
4219,5;7,5;;;;;;;;;;;;
4220,3;7,5;;;;;;;;;;;;
4221,6;7,4;;;;;;;;;;;;
4221,7;7,3;;;;;;;;;;;;
4222,6;7,3;;;;;;;;;;;;
4224,4;7,4;;;;;;;;;;;;
4225,6;7,2;;;;;;;;;;;;
4226,4;7,8;;;;;;;;;;;;
4226,6;7,3;;;;;;;;;;;;
4227,3;7,4;;;;;;;;;;;;
4227,5;7,4;;;;;;;;;;;;
4227,5;7,3;;;;;;;;;;;;
4228,6;7,5;;;;;;;;;;;;
4228,6;7,0;;;;;;;;;;;;
4234,6;7,2;;;;;;;;;;;;
4238,5;7,8;;;;;;;;;;;;
4238,6;7,7;;;;;;;;;;;;
4238,6;7,4;;;;;;;;;;;;
4239,6;7,1;;;;;;;;;;;;
4244,6;7,4;;;;;;;;;;;;
4246,3;7,5;;;;;;;;;;;;
4247,6;7,2;;;;;;;;;;;;
4249,6;7,3;;;;;;;;;;;;
4251,5;7,6;;;;;;;;;;;;
4253,6;7,2;;;;;;;;;;;;
4254,6;7,5;;;;;;;;;;;;
4255,3;7,6;;;;;;;;;;;;
4258,6;7,1;;;;;;;;;;;;
4260,6;7,5;;;;;;;;;;;;
4260,6;7,0;;;;;;;;;;;;
4265,5;7,7;;;;;;;;;;;;
4265,6;7,1;;;;;;;;;;;;
4266,6;7,2;;;;;;;;;;;;
4268,6;7,3;;;;;;;;;;;;
4272,2;8,0;;;;;;;;;;;;
