Tiempo desde erupcion (d);Magnitud
2,527264;8,013
2,527646;7,966
2,528028;7,963
2,52878;7,994
2,52915;7,987
2,529532;7,999
2,529914;7,964
2,530273;7,934
2,530655;7,975
2,531037;8,016
2,531396;7,953
2,531778;7,943
2,532148;8,005
2,532518;7,966
2,5329;8,022
2,533271;7,949
2,533641;8
2,534023;7,978
2,534405;8,018
2,534764;7,977
2,535146;8,019
2,535528;7,966
2,535898;8,032
2,53628;8,032
2,536662;7,994
2,537021;8,009
2,537403;7,931
2,537785;7,996
2,538167;7,982
2,538525;7,967
2,538907;7,998
2,539301;7,958
2,53966;7,978
2,540042;7,999
2,540424;7,975
2,540794;7,98
2,541164;8,041
2,541546;7,989
2,541928;8,002
2,542299;7,995
2,542681;8,035
2,543039;7,967
2,543421;8,024
2,543803;7,975
2,544185;8,002
2,544544;8,004
2,544926;7,981
2,545308;7,965
2,54569;8,011
2,546072;8,055
2,546454;7,99
2,546824;7,969
2,547565;7,971
2,547947;7,994
2,548329;8,018
2,548711;7,968
2,549093;7,999
2,549474;7,992
2,549856;7,999
2,550215;8,032
2,550597;7,975
2,550979;8,027
2,551361;7,999
2,551743;7,987
2,552113;7,954
2,552484;7,982
2,552843;7,974
2,553224;8,097
2,553606;7,986
2,553988;7,985
2,55437;8,016
2,554752;7,974
2,555134;8,02
2,555516;7,988
2,555898;8,02
2,55628;8,001
2,556662;8,023
2,557044;7,989
2,557426;8,037
2,557808;8,092
2,55819;8,04
2,558572;8,044
2,558954;8,08
2,559336;8,031
2,559718;7,99
2,560099;7,989
2,560481;8,002
2,560863;8,014
2,561245;8,017
2,561627;8,028
2,562009;8,023
2,562391;8,033
2,562762;8,024
2,563873;8,054
2,564243;7,996
2,564625;8,012
2,565007;8,031
2,565389;7,981
2,565771;7,992
2,566164;8,023
2,566535;8,033
2,566905;8,066
2,567646;8
2,568028;7,997
2,56841;8,024
2,568803;8,038
2,568948;8,643
2,569174;8,079
2,569544;7,981
2,569914;7,987
2,570296;7,972
2,570678;8,018
2,57106;8,067
2,571442;8,008
2,571824;8,033
2,572194;8,029
2,572565;7,993
2,572947;7,997
2,573329;8,002
2,573722;8,093
2,574093;7,987
2,574463;8,01
2,574856;8,179
2,575262;8,026
2,575667;8,079
2,57606;7,977
2,576465;7,99
2,57687;7,986
2,577264;8,075
2,577657;8,091
2,578456;8,024
2,578861;8,056
2,579255;8,148
2,57966;8,022
2,580065;7,984
2,58047;8,025
2,580875;8,041
2,58128;8,063
2,581674;8,092
2,582067;8,096
2,582461;8,027
2,582866;8,159
2,583271;7,968
2,583676;8,038
2,584081;8,077
2,584498;8,005
2,584903;8,048
2,585308;8,081
2,585701;8,038
2,586095;8,075
2,586488;8,028
2,586882;8,069
2,587275;8,007
2,587669;8,038
2,588074;8,058
2,588491;8,059
2,588896;8,098
2,589301;8,028
2,589694;8,03
2,590099;8,002
